time,lat,lon,temperature
2020-08-01,30.275,14.725,
2020-08-01,30.275,14.775,
2020-08-01,30.275,14.825,
2020-08-01,30.275,14.875,
2020-08-01,30.275,14.925,
2020-08-01,30.275,14.975,
2020-08-01,30.275,15.025,
2020-08-01,30.275,15.075,
2020-08-01,30.275,15.125,
2020-08-01,30.275,15.175,
2020-08-01,30.275,15.225,
2020-08-01,30.275,15.275,
2020-08-01,30.275,15.325,
2020-08-01,30.275,15.375,
2020-08-01,30.275,15.425,
2020-08-01,30.275,15.475,
2020-08-01,30.275,15.525,
2020-08-01,30.275,15.575,
2020-08-01,30.275,15.625,
2020-08-01,30.275,15.675,
2020-08-01,30.275,15.725,
2020-08-01,30.275,15.775,
2020-08-01,30.275,15.825,
2020-08-01,30.275,15.875,
2020-08-01,30.275,15.925,
2020-08-01,30.275,15.975,
2020-08-01,30.275,16.025,
2020-08-01,30.275,16.075,
2020-08-01,30.275,16.125,
2020-08-01,30.275,16.175,
2020-08-01,30.275,16.225,
2020-08-01,30.275,16.275,
2020-08-01,30.275,16.325,
2020-08-01,30.275,16.375,
2020-08-01,30.275,16.425,
2020-08-01,30.275,16.475,
2020-08-01,30.275,16.525,
2020-08-01,30.275,16.575,
2020-08-01,30.275,16.625,
2020-08-01,30.275,16.675,
2020-08-01,30.275,16.725,
2020-08-01,30.275,16.775,
2020-08-01,30.275,16.825,
2020-08-01,30.275,16.875,
2020-08-01,30.275,16.925,
2020-08-01,30.275,16.975,
2020-08-01,30.275,17.025,
2020-08-01,30.275,17.075,
2020-08-01,30.275,17.125,
2020-08-01,30.275,17.175,
2020-08-01,30.275,17.225,
2020-08-01,30.275,17.275,
2020-08-01,30.275,17.325,
2020-08-01,30.275,17.375,
2020-08-01,30.275,17.425,
2020-08-01,30.275,17.475,
2020-08-01,30.275,17.525,
2020-08-01,30.275,17.575,
2020-08-01,30.275,17.625,
2020-08-01,30.275,17.675,
2020-08-01,30.275,17.725,
2020-08-01,30.275,17.775,
2020-08-01,30.275,17.825,
2020-08-01,30.275,17.875,
2020-08-01,30.275,17.925,
2020-08-01,30.275,17.975,
2020-08-01,30.275,18.025,
2020-08-01,30.275,18.075,
2020-08-01,30.275,18.125,
2020-08-01,30.275,18.175,
2020-08-01,30.275,18.225,
2020-08-01,30.275,18.275,
2020-08-01,30.275,18.325,
2020-08-01,30.275,18.375,
2020-08-01,30.275,18.425,
2020-08-01,30.275,18.475,
2020-08-01,30.275,18.525,
2020-08-01,30.275,18.575,
2020-08-01,30.275,18.625,
2020-08-01,30.275,18.675,
2020-08-01,30.275,18.725,
2020-08-01,30.275,18.775,
2020-08-01,30.275,18.825,
2020-08-01,30.275,18.875,
2020-08-01,30.275,18.925,
2020-08-01,30.275,18.975,302.25388
2020-08-01,30.275,19.025,302.2687
2020-08-01,30.275,19.075,302.26935
2020-08-01,30.275,19.125,302.25708
2020-08-01,30.275,19.175,302.22934
2020-08-01,30.275,19.225,302.17224
2020-08-01,30.275,19.275,302.10806
2020-08-01,30.275,19.325,
2020-08-01,30.275,19.375,
2020-08-01,30.275,19.425,
2020-08-01,30.275,19.475,
2020-08-01,30.275,19.525,
2020-08-01,30.275,19.575,
2020-08-01,30.275,19.625,
2020-08-01,30.275,19.675,
2020-08-01,30.275,19.725,
2020-08-01,30.275,19.775,
2020-08-01,30.275,19.825,
2020-08-01,30.275,19.875,
2020-08-01,30.275,19.925,
